Radical,Freq.,General standard #,,HSK 3.0,Stroke count,Character,Pronounciation,Meaning
人 9.4,774,461,0.0002408891,3,6,优,yōu,"superior, excellent; actor"
人 9.4,784,471,0.0002346618,2,6,份,fèn,"portion, part; duty"
人 9.4,970,470,0.0001696192,7–9,6,伦,lún,normal human relationships
人 9.4,1047,475,0.0001484414,4,6,伙,huǒ,"companion, colleague; utensils"
人 9.4,1082,458,0.0001371496,1,6,休,xiū,"rest, stop; retire; do not!"
人 9.4,1107,454,0.0001322505,3,6,伟,wěi,"great, robust; extraordinary"
人 9.4,1259,474,0.0001026852,5,6,仿,fǎng,"imitate, copy; as if"
人 9.4,1368,473,0.0000875434,6,6,仰,yǎng,"raise the head to look; look up to, rely on, admire"
人 9.4,1389,460,0.0000836210,7–9,6,伏,fú,"crouch, crawl, lie hidden, conceal"
人 9.4,1472,459,0.0000745463,6,6,伍,wǔ,"five, company of five; troops"
人 9.4,1556,476,0.0000653940,7–9,6,伪,wěi,"false, counterfeit, bogus"
人 9.4,1706,465,0.0000533116,7–9,6,仲,zhòng,"middle brother; go between, mediator; surname"
人 9.4,1810,463,0.0000466554,7–9,6,伐,fá,"cut down, subjugate, attack"
人 9.4,2202,493,0.0000284800,4,6,伞,sǎn,"umbrella, parasol, parachute"
人 9.4,3332,3602,0.0000065322,,6,伎,jì,"talent, skill, ability"
人 9.4,3346,3604,0.0000064185,,6,伢,yá,child
人 9.4,4074,3610,0.0000027751,,6,伫,zhù,to stand for a long time; to wait
人 9.4,4989,3609,0.0000009509,,6,伉,kàng,"compare, match; pair; spouse"
人 9.4,5659,3608,0.0000004961,,6,伧,cāng,"vulgar person, country man"
人 9.4,6109,3603,0.0000002791,,6,伛,yǔ,humpback; stoop
人 9.4,6393,3606,0.0000001757,,6,仵,wǔ,similar
人 9.4,6416,,0.0000001705,,6,氽,tǔn,to float; to deep fry; (Cant.) to turn inside-out
人 9.4,7350,6537,0.0000000362,,6,仳,pǐ,"separate, part company"
人 9.4,—,6512,0.0000000000,,5,伋,jí,deceptive
人 9.4,—,6538,0.0000000000,,6,伣,xiàn,like
人 9.4,—,6539,0.0000000000,,6,伈,xǐn,"nervous, fearful"
人 9.5,32,782,0.0036443946,1,7,你,nǐ,"you, second person pronoun"
人 9.5,49,777,0.0028050632,1,7,作,zuò,"make; work; compose, write; act, perform"
人 9.5,95,774,0.0019351484,2,7,但,dàn,"only; but, however, yet, still"
人 9.5,149,770,0.0014149164,1,7,体,tǐ,"body; group, class, body, unit; inferior"
人 9.5,182,784,0.0011110002,2,7,位,wèi,"throne; position, post; rank, status; seat"
人 9.5,229,771,0.0009526159,3,7,何,hé,"what, why, where, which, how"
人 9.5,309,783,0.0007157629,1,7,住,zhù,"reside, live at, dwell, lodge; stop"
人 9.5,431,481,0.0005067440,3,6,似,shì,"resemble, similar to; as if, seem"
人 9.5,592,781,0.0003536051,2,7,低,dī,"low; to lower, hang, bend, bow"
人 9.5,729,795,0.0002614984,4,7,余,yú,"I, my, me; surname; surplus"
人 9.5,771,789,0.0002430854,6,7,佛,fú,Buddha; of Buddhism; merciful person; Buddhist image; the dead (Jap.)
人 9.5,821,778,0.0002197009,7–9,7,伯,bó,father's elder brother; senior
人 9.5,1161,775,0.0001226434,5,7,伸,shēn,"extend, stretch out, open up; trust"
人 9.5,1298,785,0.0000965251,4,7,伴,bàn,"companion, comrade, partner; accompany"
人 9.5,1326,769,0.0000927268,5,7,估,gū,"merchant; estimate, guess, presume"
人 9.5,2081,772,0.0000329606,7–9,7,佐,zuǒ,"assist, aid, second; subordinate"
人 9.5,2532,3735,0.0000185836,,7,伽,jiā,traditionally used as phonetic for ga
人 9.5,2546,780,0.0000181753,7–9,7,佣,yōng,commission fee
人 9.5,2775,773,0.0000133796,7–9,7,佑,yòu,"help, protect, bless"
